data,inicio,fim,titulo,local,participantes
2021-03-18,10h00,10h55,Luiz Eduardo Ramos -  Ministro-Chefe da Secretaria de Governo da Presidência da República,Palácio do Planalto,Braga Netto -  Ministro-Chefe da Casa Civil da Presidência da República;;Rogério Marinho -  Ministro de Estado do Desenvolvimento Regional;;Augusto Heleno -  Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República;;Jônathas Assunção Salvador Nery de Castro -  Secretário-Executivo da Secretaria de Governo da Presidência da República;;André de Souza Monteiro -  Secretário Especial de Relações Institucionais da Secretaria de Governo da Presidência da República;;Eduardo Gomes da Silva -  Secretário Especial Adjunto de Relações Institucionais da Secretaria de Governo da Presidência da República; e;André Luís Boratto Braga -  Secretário Especial de Assuntos Parlamentares da Secretaria de Governo da Presidência da República.
2021-03-18,14h15,14h30,Onyx Lorenzoni -  Ministro-Chefe da Secretaria-Geral da Presidência da República,Palácio do Planalto,
2021-03-18,14h30,15h00,Ernesto Araújo -  Ministro de Estado das Relações Exteriores,Palácio do Planalto,
2021-03-18,15h00,15h30,Pedro Cesar Sousa -  Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República,Palácio do Planalto,
2021-03-18,15h45,16h15,Gilson Machado -  Ministro de Estado do Turismo,Palácio do Planalto,Luiz Antônio Nabhan Garcia -  Secretário Especial de Assuntos Fundiários do Ministério da Agricultura -  Pecuária e Abastecimento;;Carlos Brito -  Presidente da Agência Brasileira de Promoção Internacional do Turismo – EMBRATUR; e;Rodolfo Nogueira -  Gerente de Promoção Internacional de Projetos Especiais da Agência Brasileira de Promoção Internacional do Turismo – EMBRATUR.
2021-03-19,10h40,11h10,Braga Netto -  Ministro-Chefe da Casa Civil da Presidência da República,Palácio do Planalto,
2021-03-19,15h00,15h50,Pedro Cesar Sousa -  Subchefe para Assuntos Jurídicos da Secretaria-Geral da Presidência da República,Palácio do Planalto,
2021-03-22,10h00,10h30,Bento Albuquerque -  Ministro de Estado de Minas e Energia,Palácio do Planalto,
2021-03-22,10h45,11h00,Luiz Eduardo Ramos -  Ministro-Chefe da Secretaria de Governo da Presidência da República,Palácio do Planalto,Senador Eduardo Gomes (MDB/TO) -  Líder do Governo no Congresso Nacional;;Senador Fernando Bezerra Coelho (MDB/PE) -  Líder do Governo no Senado Federal; e;Deputado Ricardo Barros (PP/PR) -  Líder do Governo na Câmara dos Deputados.
2021-03-22,11h00,12h00,Anúncio de Investimentos para o Programa Águas Brasileiras,Palácio do Planalto,
