,0
Greyce Elias,4.666666666666666
Luiz Philippe de OrleansBragança,4.666666666666666
Alex Santana,4.666666666666667
Sandra Krieger,4.75
Mauro Biancamano,4.75
JB Carvalho,4.75
Delegado Pablo,4.833333333333333
Diogo Mac Cord,4.916666666666667
Diogo Mac Cord,4.916666666666667
Izalci Lucas,5.0
Embaixador Pedro Miguel da CostaSilva,5.0
Jose Mucio Monteiro,5.0
Evair de Melo,5.0
Luiz Rodolfo Landim,5.0
Rogerio Peninha Mendonça,5.083333333333333
Marcos Rocha,5.083333333333333
Marco Polo de Mello Lopes,5.083333333333334
Hasteamento da Bandeira Nacional,5.25
Carlos Massa Ratinho Junior,5.25
Apóstolo Estevam Hernandes,5.333333333333332
Soraya Thronicke,5.333333333333334
João Doria,5.333333333333334
Marcos Montes,5.5
Pedro Lucas Fernandes,5.5
Michelle Bolsonaro,5.5
Rubens Ometto Silveira Mello,5.583333333333334
Claudio Castro,5.75
Bruno Cesar Grossi de Souza,5.75
Waldemar Gonçalves,5.833333333333333
Carlos Brito,5.833333333333333
Coronel Tadeu,5.833333333333333
Aluisio Mendes,5.916666666666668
Daniel Silveira,6.0
General de Exercito Laerte de Souza Santos,6.25
Roman,6.25
Nelsinho Trad,6.250000000000001
Romeu Zema,6.333333333333333
Rubem de Freitas Novaes,6.333333333333334
Roberto Fendt,6.666666666666666
Logística,6.666666666666667
Rubem Novaes,6.666666666666667
Mario Abdo Benítez,6.75
David Soares,6.833333333333333
Jonathas Assunção de Castro,6.833333333333334
Chico Rodrigues,6.916666666666666
Guiga Peixoto,6.916666666666667
Andre Ferreira,6.916666666666667
Celio Faria Junior,6.983333333333333
Flavio Augusto Viana Rocha,7.0
Nelson Barbudo,7.0
Marcio Labre,7.166666666666666
Yossi Shelley,7.166666666666667
Regina Duarte,7.166666666666668
Apóstolo Cesar Augusto,7.249999999999999
Marcelo Sampaio,7.333333333333333
Candice Lavocat Galvão Jobim,7.5
Danilo Aguiar,7.5
Rafael Meira Luz,7.5
Ratinho,7.666666666666666
Fabio Wajngarten,7.833333333333334
Marcos Cintra,7.999999999999999
Junio Amaral,8.083333333333332
Rodrigo Cruz,8.166666666666666
Maurício Leite Valeixo,8.25
Major Fabiana,8.25
Sergio Jose Pereira,8.25
Coronel Chrisóstomo,8.333333333333334
Cezinha de Madureira,8.416666666666666
Carlos Bolsonaro,8.416666666666666
Marcelo Magalhães,8.416666666666668
Alê Silva,8.666666666666666
Admar Gonzaga,8.666666666666666
João Campos,8.75
Roberto Rocha,8.75
Alberto Fraga,8.783333333333333
Luiz Fux,8.8
Augusto Nardes,8.833333333333332
Diego Andrade,9.0
Daniel Freitas,9.083333333333334
Sóstenes Cavalcante,9.166666666666668
Eduardo Aggio de Sa,9.166666666666668
Nelson Teich,9.25
Humberto Fernandes de Moura,9.25
General Girão,9.416666666666668
Jose Medeiros,9.416666666666668
Andre de Sousa Costa,9.583333333333332
Andre de Sousa Costa,9.583333333333332
Ricardo Soriano,9.583333333333334
Jose Barroso Tostes,9.583333333333334
Pastor Marco Feliciano,9.666666666666668
Jorginho Mello,9.733333333333334
Eduardo Braga,9.75
Julio Cesar,9.916666666666666
Zequinha Marinho,10.0
Bibo Nunes,10.0
Dias Toffoli,10.0
Waldery Rodrigues,10.083333333333334
Jorge Seif,10.416666666666668
Joaquim Alvaro Pereira Leite,10.5
Silas Câmara,10.5
Fabio Ramalho,10.583333333333332
Filipe Barros,10.666666666666668
Luiz Lima,11.166666666666666
Caroline de Toni,11.25
Gilson Machado Guimarães Neto,11.416666666666668
Otoni de Paula,11.583333333333332
Mario Frias,12.0
Fausto de Andrade Ribeiro,12.083333333333334
Carlos Jordy,12.166666666666666
Pastor Silas Malafaia,12.666666666666668
Ronaldo Caiado,12.833333333333332
Carlos de Almeida Baptista Junior,13.083333333333334
Augusto Aras,13.249999999999998
Carla Zambelli,13.75
Gustavo Canuto,14.333333333333334
General de Exercito Paulo Sergio Nogueira de Oliveira,14.333333333333334
Eduardo Pazuello,14.666666666666668
Sanderson,14.666666666666668
Luiz Antonio Nabhan Garcia,14.916666666666666
Jose Vicente Santini,15.166666666666666
Coronel Armando,15.833333333333334
Nabhan Garcia,15.916666666666666
Aline Sleutjes,16.083333333333332
Karina Kufa,17.083333333333332
Rodrigo Maia,18.916666666666664
Paulo Skaf,19.083333333333332
Edson Leal Pujol,19.25
Eduardo Bolsonaro,20.0
Rodrigo Pacheco,20.25
Marcio Bittar,20.250000000000004
Andre Mendonça,20.666666666666664
Almir Garnier Santos,20.75
Joice Hasselmann,20.833333333333336
Salim Mattar,21.000000000000004
Arthur Lira,21.416666666666668
Ricardo Barros,21.5
Marcelo Guaranys,21.75
Gustavo Montezano,23.25
Carlos Moretti Bermudez,23.75
Bia Kicis,24.083333333333336
Bruno Bianco,25.83333333333333
Osmar Terra,25.916666666666668
Ilques Barbosa Junior,26.583333333333336
Ilques Barbosa Junior,26.583333333333336
Pedro Cesar Nunes Ferreira Marques de Sousa,26.65
Helio Lopes,26.66666666666667
Eduardo Gomes,28.750000000000004
Flavio Bolsonaro,29.583333333333332
Ciro Nogueira,30.75
Ciro Nogueira,30.75
Davi Alcolumbre,31.83333333333333
Antonio Barra Torres,33.583333333333336
Fernando Bezerra,35.0
Luiz Henrique Mandetta,35.333333333333336
Comandante da Marinha,35.583333333333336
João Roma,35.83333333333333
Floriano Peixoto,35.91666666666667
Alexandre Ramagem,36.0
Anderson Gustavo Torres,36.66666666666667
Marcelo Queiroga,38.0
Milton Ribeiro,38.083333333333336
Marcelo Alvaro Antonio,38.25
Carlos França,39.56666666666666
Abraham Weintraub,44.916666666666664
Santos Cruz,46.833333333333336
Damares Alves,52.75
Roberto Campos,53.91666666666667
Flavia Arruda,54.41666666666667
Gilson Machado,59.833333333333336
Jose Levi,61.66666666666667
Sergio Moro,62.08333333333333
Hamilton Mourão,63.75
Pedro Duarte Guimarães,64.16666666666667
Tereza Cristina,66.75
Wagner Rosario,71.5
Ricardo Salles,75.83333333333334
Rogerio Marinho,77.08333333333334
Marcos Pontes,78.25
Pedro Cesar Sousa,80.58333333333333
Fabio Faria,81.58333333333334
Vitor Hugo,108.08333333333333
Bento Albuquerque,117.83333333333334
Andre Luiz de Almeida,118.91666666666666
Tarcísio Freitas,121.66666666666666
Ernesto Araujo,154.16666666666669
Fernando Azevedo,176.63333333333333
Braga Netto,208.16666666666663
Onyx Lorenzoni,265.15
Paulo Guedes,311.83333333333337
Augusto Heleno,317.2
Luiz Eduardo Ramos,427.41666666666663
